"Gender Inequality Index (GII)"
"Dimension: Gender"
"Definition: A composite measure reflecting inequality in achievement between women and men in three dimensions: reproductive health, empowerment and the labour market. See Technical note 4 at http://hdr.undp.org/sites/default/files/hdr2020_technical_notes.pdf for details on how the Gender Inequality Index is calculated."
"Source: HDRO calculations based on data in columns 3-9."
""
"HDI Rank","Country","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019",""
"169"," Afghanistan","..","","..","","0.745","","0.751","","0.743","","0.734","","0.724","","0.714","","0.702","","0.690","","0.673","","..","","0.655",""
"69"," Albania","..","","0.334","","0.306","","0.242","","0.249","","0.230","","0.221","","0.217","","0.207","","0.205","","0.187","","0.186","","0.181",""
"91"," Algeria","0.682","a","0.624","","0.552","","0.507","","0.500","","0.419","","0.416","","0.424","","0.427","","0.425","","0.434","","0.433","","0.429",""
"148"," Angola","..","","..","","..","","..","","..","","..","","..","","0.537","","0.534","","0.531","","0.539","","0.537","","0.536",""
"46"," Argentina","0.427","a","0.417","","0.372","","0.358","","0.354","","0.351","","0.348","","0.345","","..","","0.338","","0.332","","0.328","","0.328",""
"81"," Armenia","0.479","a","0.473","","0.392","","0.342","","0.337","","0.320","","0.307","","0.308","","0.309","","0.303","","0.266","","0.264","","0.245",""
"8"," Australia","0.180","a","0.160","","0.139","","0.138","","0.132","","0.127","","0.119","","0.116","","0.110","","0.108","","0.104","","0.103","","0.097",""
"18"," Austria","0.186","a","0.150","","0.118","","0.111","","0.106","","0.102","","0.093","","0.090","","0.089","","0.087","","0.079","","0.076","","0.069",""
"88"," Azerbaijan","..","","..","","0.341","","0.313","","0.314","","0.315","","0.318","","0.321","","0.316","","0.317","","0.319","","0.321","","0.323",""
"58"," Bahamas","..","","0.403","","0.363","","0.380","","0.378","","0.379","","0.376","","0.373","","0.367","","0.363","","0.343","","0.343","","0.341",""
"42"," Bahrain","..","","..","","0.321","","0.247","","0.221","","0.234","","0.230","","0.226","","0.236","","0.235","","0.231","","0.213","","0.212",""
"133"," Bangladesh","0.708","a","0.683","","0.638","","0.592","","0.591","","0.585","","0.579","","0.570","","0.562","","0.555","","0.542","","0.540","","0.537",""
"58"," Barbados","0.392","a","0.359","","0.351","","0.327","","0.323","","0.319","","0.306","","0.301","","0.306","","0.298","","0.286","","0.261","","0.252",""
"53"," Belarus","..","","..","","..","","0.150","","0.149","","0.154","","0.153","","0.153","","0.153","","0.138","","0.134","","0.128","","0.118",""
"14"," Belgium","0.162","a","0.122","","0.104","","0.091","","0.086","","0.081","","0.074","","0.063","","0.057","","0.054","","0.052","","0.048","","0.043",""
"110"," Belize","0.554","a","0.516","","0.484","","0.459","","0.455","","0.440","","0.435","","0.430","","0.423","","0.412","","0.418","","0.416","","0.415",""
"158"," Benin","0.681","a","0.673","","0.655","","0.625","","0.633","","0.628","","0.624","","0.619","","0.624","","0.619","","0.614","","0.613","","0.612",""
"129"," Bhutan","..","","..","","..","","..","","..","","0.507","","0.536","","0.512","","0.492","","0.481","","0.470","","0.428","","0.421",""
"107"," Bolivia (Plurinational State of)","..","","0.587","","0.550","","0.491","","0.487","","0.483","","0.477","","0.440","","0.440","","0.431","","0.424","","0.419","","0.417",""
"73"," Bosnia and Herzegovina","..","","..","","..","","0.228","","0.201","","0.193","","0.183","","..","","0.168","","0.167","","0.161","","0.158","","0.149",""
"100"," Botswana","0.568","a","0.519","","0.512","","0.506","","0.504","","0.500","","0.496","","0.483","","0.481","","0.478","","0.473","","0.472","","0.465",""
"84"," Brazil","0.532","a","0.510","","0.474","","0.456","","0.452","","0.448","","0.448","","0.442","","0.439","","0.436","","0.428","","0.410","","0.408",""
"47"," Brunei Darussalam","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.299","","0.269","","0.262","","0.255",""
"56"," Bulgaria","0.370","a","0.329","","0.253","","0.244","","0.243","","0.229","","0.217","","0.236","","0.227","","0.225","","0.214","","0.213","","0.206",""
"182"," Burkina Faso","..","","..","","0.641","","0.614","","0.610","","0.605","","0.601","","..","","0.619","","0.616","","0.605","","0.605","","0.594",""
"185"," Burundi","..","","0.624","","0.567","","0.532","","0.528","","0.523","","0.519","","0.515","","0.509","","0.508","","0.505","","0.504","","0.504",""
"126"," Cabo Verde","..","","..","","..","","..","","..","","..","","..","","..","","0.416","","0.404","","0.400","","0.398","","0.397",""
"144"," Cambodia","0.658","a","0.598","","0.568","","0.506","","0.502","","0.497","","0.493","","0.488","","0.483","","0.478","","0.475","","0.473","","0.474",""
"153"," Cameroon","0.706","a","0.696","","0.654","","0.617","","0.614","","0.611","","0.577","","0.575","","0.572","","0.569","","0.566","","0.561","","0.560",""
"16"," Canada","0.184","a","..","","0.139","","0.132","","0.124","","0.121","","0.119","","0.116","","0.114","","0.101","","0.095","","0.088","","0.080",""
"188"," Central African Republic","0.743","a","0.711","","0.693","","0.693","","0.680","","0.678","","..","","..","","..","","0.694","","0.682","","0.680","","0.680",""
"187"," Chad","..","","..","","..","","..","","..","","..","","..","","..","","0.714","","0.713","","0.718","","0.709","","0.710",""
"43"," Chile","0.483","a","0.433","","0.377","","0.342","","0.331","","0.325","","0.309","","0.303","","0.300","","0.288","","..","","0.253","","0.247",""
"85"," China","..","","0.269","","0.227","","0.194","","0.189","","0.186","","0.178","","0.175","","0.172","","0.169","","0.168","","0.167","","0.168",""
"83"," Colombia","0.524","a","0.501","","0.494","","0.468","","0.466","","0.463","","0.461","","0.436","","0.433","","0.431","","0.431","","0.432","","0.428",""
"149"," Congo","..","","0.623","","0.625","","0.613","","0.608","","0.605","","0.602","","0.590","","0.588","","0.584","","0.571","","0.570","","0.570",""
"175"," Congo (Democratic Republic of the)","..","","..","","0.654","","0.661","","..","","0.655","","0.626","","0.637","","0.641","","0.638","","0.636","","0.635","","0.617",""
"62"," Costa Rica","0.467","a","0.427","","0.349","","0.331","","0.323","","0.313","","0.313","","0.321","","0.316","","0.319","","0.311","","0.291","","0.288",""
"43"," Croatia","0.285","a","0.205","","0.157","","0.146","","0.144","","0.139","","0.133","","0.127","","0.151","","0.160","","0.131","","0.126","","0.116",""
"70"," Cuba","0.422","a","0.383","","0.340","","0.320","","0.313","","0.317","","0.316","","0.316","","0.315","","0.312","","0.310","","0.305","","0.304",""
"33"," Cyprus","0.331","a","0.253","","0.140","","0.132","","0.139","","0.137","","0.134","","0.118","","0.114","","0.091","","0.089","","0.088","","0.086",""
"27"," Czechia","0.252","a","..","","0.153","","0.135","","0.133","","0.133","","0.138","","0.139","","0.134","","0.135","","0.132","","0.135","","0.136",""
"162"," Côte d'Ivoire","0.707","a","..","","0.688","","0.678","","0.667","","0.667","","0.664","","0.665","","0.664","","0.660","","0.650","","0.648","","0.638",""
"10"," Denmark","0.096","a","0.076","","0.064","","0.056","","0.052","","0.049","","0.046","","0.044","","0.044","","0.042","","0.041","","0.040","","0.038",""
"88"," Dominican Republic","0.550","a","0.494","","0.494","","0.488","","0.483","","0.480","","0.478","","0.477","","0.472","","0.458","","0.457","","0.456","","0.455",""
"86"," Ecuador","0.592","a","0.502","","0.475","","0.425","","0.424","","0.417","","0.403","","0.399","","0.391","","0.383","","0.385","","0.385","","0.384",""
"116"," Egypt","0.668","a","0.637","","0.579","","..","","..","","0.574","","..","","..","","..","","0.452","","0.451","","0.450","","0.449",""
"124"," El Salvador","0.508","a","0.511","","0.482","","0.435","","0.433","","0.412","","0.405","","0.400","","0.388","","0.386","","0.384","","0.384","","0.383",""
"29"," Estonia","0.392","a","0.291","","0.227","","0.176","","0.192","","0.180","","0.162","","0.171","","0.144","","0.142","","0.118","","0.105","","0.086",""
"138"," Eswatini (Kingdom of)","0.621","a","0.633","","0.592","","0.559","","0.555","","0.551","","0.566","","0.564","","0.562","","0.560","","0.559","","0.567","","0.567",""
"173"," Ethiopia","..","","..","","0.622","","0.587","","0.583","","0.579","","0.570","","0.561","","0.534","","0.528","","0.522","","0.519","","0.517",""
"93"," Fiji","0.506","a","..","","0.435","","..","","..","","..","","..","","0.377","","0.371","","0.374","","0.380","","0.369","","0.370",""
