Species Common Name,Scientific Name,TaxonClass,Overall Sample Size ,Overall MLE,Overall CI - lower,Overall CI - upper,Male Sample Size,Male MLE,Male CI - lower,Male CI - upper,Female Sample Size ,Female MLE,Female CI - lower,Female CI - upper,Male Data Deficient,Female Data Deficient
"Stork, Yellow-billed",Mycteria ibis,Aves,118,11.8,10.4,15.2,60,11.9,6.9,17.8,51,11.5,7,18.5,yes,yes
Sunbittern,Eurypyga helias,Aves,299,14.9,12.7,16.6,145,16.7,13.9,18.7,139,13.2,10.9,15.6,,
"Takin, Sichuan",Budorcas taxicolor tibetana,Mammalia,200,13.7,12.5,15.4,104,13.4,12.3,15.1,94,14.1,12,19.2,yes,yes
"Tamandua, Southern",Tamandua tetradactyla,Mammalia,117,6.1,3.9,8.4,49,5.2,2.8,9.3,68,7.6,3.7,9.2,yes,
"Tamarin, Bearded Emperor",Saguinus imperator subgrisescens,Mammalia,182,7.8,6.9,9.3,92,9.5,7.3,10.6,87,7.2,5.3,7.9,,
"Tamarin, Cotton-top",Saguinus oedipus,Mammalia,843,11.5,10.7,12.8,437,12.4,10.8,13.7,401,11.3,10,12.7,,
"Tamarin, Golden-headed Lion",Leontopithecus chrysomelas,Mammalia,278,11.7,11,12.7,,,,,,,,,yes,yes
"Tamarin, Pied",Sanguinus bicolor,Mammalia,91,10.8,9.2,12.2,50,10,8.5,11.5,39,12.2,10,13.2,yes,yes
"Tanager, Blue-grey",Thraupis episcopus,Aves,379,5.2,4.5,6.3,174,5.3,4,6.6,159,5.2,3.8,6.8,,
"Tanager, Silver-beaked",Ramphocelus carbo,Aves,356,4.7,4.1,5.3,148,4.6,3.6,5.6,169,4.7,4.1,5.5,,
"Tanager, Turquoise",Tangara mexicana,Aves,498,4,3.6,4.3,235,3.9,3.5,4.4,235,4,3.3,4.8,,
"Tapir, Baird's (Central American)",Tapirus bairdii,Mammalia,202,19.1,17,20.5,115,19.5,17.5,21.5,86,18.2,12.1,22.6,,yes
"Tapir, Malayan (Asian)",Tapirus indicus,Mammalia,190,15.6,12.8,17.3,82,20.4,15.6,22.9,108,12.1,10.5,15.8,,
"Tarantula, Mexican Red-kneed",Brachypelma smithi,Arachnida,,,,,,,,,78,17.2,13.8,17.9,yes,
"Teal, Marbled",Marmaronetta angustirostris,Aves,894,5.6,5.2,5.9,435,5.9,5.6,6,432,5.1,4.6,5.7,,
"Tenrec, Lesser Madagascar Hedgehog",Echinops telfairi,Mammalia,583,8,7.3,8.5,257,8.4,7.6,9.6,239,7.3,6,8.2,,
"Tern, Inca",Larosterna inca,Aves,832,8.6,7.7,9.6,367,8.7,7,10.2,369,8.6,7.6,10.3,,
"Tiger, Amur (Siberian)",Panthera tigris altaica,Mammalia,536,15.3,14.9,15.6,241,16,15.4,16.4,295,14.3,13.3,15,,
"Tiger, Malayan",Panthera tigris jacksoni,Mammalia,100,16.1,13.4,17.9,58,16.1,13.4,17.6,42,14.5,10.3,19,yes,yes
"Tiger, Sumatran",Panthera tigris sumatrae,Mammalia,128,18.4,16.4,18.8,71,18.2,16.7,18.5,57,18.8,13.5,20.1,yes,yes
"Toad, Houston",Bufo (Anaxyrus) houstonensis,Amphibia,1092,4.7,4.6,4.8,504,5,4.7,5.2,546,4.4,4.3,4.7,,
"Toad, Puerto Rican Crested (Northern and Southern)",Peltophryne lemur,Amphibia,2031,5.2,4.9,5.4,916,5.2,4.8,5.5,772,5.1,4.8,5.5,,
"Tortoise, Egyptian",Testudo kleinmanni,Reptilia,300,12.5,10.8,14.7,101,11.3,9.9,13.6,129,13.2,9.7,17.1,,
"Toucan, Chestnut-mandibled",Ramphastos ambiguus swainsonii,Aves,101,10.2,8.7,11.2,51,9.8,7.3,11.2,46,10.7,8.8,13.6,,yes
"Toucan, Keel-billed",Ramphastos sulfuratus,Aves,159,6.8,5.7,8.1,74,7.3,4.2,9.2,70,6.3,5,7.9,,
"Toucan, Toco",Ramphastos toco,Aves,411,7.4,6.6,8,184,7.7,6.4,9,207,7.4,6,7.8,,
"Tree Kangaroo, Matschie's",Dendrolagus matschiei,Mammalia,193,13.2,11.5,14.5,89,12.4,11,14.5,104,13.3,11.2,15.8,,
"Tree Shrew, Northern",Tupaia belangeri,Mammalia,203,7.1,6.6,7.5,99,7.4,6.6,8.4,104,6.8,5.8,7.5,yes,yes
Troupial,Icterus icterus,Aves,194,6.1,5.5,7.4,90,5.7,4.8,6.9,94,7.3,5.5,10.9,,
"Turaco, Lady Ross'",Musophaga rossae,Aves,346,10.5,9,12.2,160,10.8,8.1,12.5,160,9.8,8,14.6,,
"Turaco, Red-crested",Tauraco erythrolophus,Aves,255,8.8,7.6,10.3,106,8.8,6.4,11.5,111,8.7,6.6,10.6,,
"Turaco, Violaceous",Musophaga violacea,Aves,371,14.1,11.2,17.4,142,15.7,13.3,20,195,11.8,10.4,15.1,,
"Turaco, White-cheeked",Tauraco leucotis,Aves,234,10,9.2,13,101,9.2,11.9,8,104,11.3,9.5,13.9,,
"Turtle, Coahuilan Box",Terrapene coahuila,Reptilia,330,14.6,12.7,17.9,57,14.5,9.7,23.9,137,14.9,12.7,17.8,yes,
"Turtle, Wood",Glyptemys insculpta,Reptilia,369,13.1,10.3,17.2,91,12.7,9,18,121,13.7,8.9,18.3,,
"Viper, Philippine Palm",Parias flavomaculatus mcgregori,Reptilia,143,12.1,10.1,14,49,10.1,5.5,13.7,80,13,10.8,15.7,yes,
"Vulture, King",Sarcorhamphus papa,Aves,,,,,,,,,120,28.7,18.4,34,yes,
"Wallaby, Bennett’s",Macropus rufogriseus,Mammalia,2209,5.3,5,5.7,982,5.1,4.7,5.5,1164,5.6,5.1,5.9,,
"Wallaby, Parma",Macropus parma,Mammalia,687,5.5,5.1,5.9,309,5,4.4,5.6,366,5.8,5.3,6.1,,
"Wallaby, Tammar",Macropus eugenii,Mammalia,351,5.8,5.5,6.7,156,5.9,5.5,7.1,186,5.7,5.2,6.7,,
"Wallaby, Yellow-footed Rock",Petrogale xanthopus xanthopus,Mammalia,162,6.3,5.8,6.5,76,6.1,5.4,6.5,86,6.3,5.7,7.5,,yes
"Wallaroo, Common",Macropus robustus,Mammalia,343,9.3,8,10,147,8,7.2,9.4,191,10.1,8.6,11.5,,
"Warthog, Common",Phacochoerus africanus,Mammalia,383,11.7,11,12.3,200,11.2,10.1,11.8,183,12.3,11.6,13,,
Wildebeest,Connochaetes taurinus,Mammalia,828,12.1,10.8,13.2,283,8.3,7.4,10.5,464,13.9,12.4,15.5,,
"Wolf, Maned",Chrysocyon brachyurus,Mammalia,216,12.3,11.8,12.8,107,12.6,11.9,12.9,109,12,11.1,12.8,,
"Wolf, Mexican Gray",Canis lupus baileyi,Mammalia,514,11,10.5,12.1,263,11,10.1,12.1,251,11.3,10.1,13.4,,
"Wolf, Red",Canis rufus gregoryi,Mammalia,658,10.8,10.2,11.2,311,10.8,9.7,11.5,347,10.7,10,11.4,,
"Woodhoopoe, Green",Phoeniculus purpureus,Aves,284,5.4,4.5,6.3,136,6,4.7,7,130,4.3,3.2,6,,
"Wood-partridge, Crested",Rollulus rouloul,Aves,1319,4.8,4.6,5.1,645,5,4.6,5.3,633,4.7,4.3,5,,
"Zebra, Grevy's",Equus grevyi,Mammalia,797,14.1,12.9,15.3,341,11.2,8.8,13.2,455,16.5,14.4,18,,
"Zebra, Hartmann's Mountain",Equus zebra hartmannae,Mammalia,585,13.9,12.3,15.3,283,12.3,10.8,13.9,301,15.4,13.2,17,,
"Zebra, Plains",Equus quagga ,Mammalia,1635,15.6,14.4,16.5,638,14,11.6,15.9,991,16,14.9,17,,
